[     223ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3100/node_modules/.vite/deps/react-dom_client.js?v=16351df5:20102
[  246319ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  250333ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  265349ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  266369ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  268380ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  272400ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  287419ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  288438ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  290457ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  294469ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  309487ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  310504ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  312520ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  316538ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  331553ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  332572ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  334591ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  338609ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  353628ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  354647ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  356666ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  360687ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  375706ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  376726ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  378747ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  382765ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  397780ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  398801ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  400812ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  404832ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  419847ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  420857ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  422876ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  426895ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  441916ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  442935ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  444957ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  448978ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  463998ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  465015ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  467035ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  471054ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  486071ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  487090ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  489098ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  493117ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  508125ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  509134ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  511152ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  515170ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  530186ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  531206ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  533224ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  537244ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  552261ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  553280ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  555297ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  559314ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  574334ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  575354ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  577371ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  581387ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  596408ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  597423ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  599442ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  603463ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  618484ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  619502ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  621522ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  625542ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  640561ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
[  641573ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3100/api/companies/22266d4d-5326-4501-ad12-f181b4330d95/sidebar-badges:0
